"province","agegrp5","sex","no_reinf","reinf","total"
"KWAZULU-NATAL","(55,60]","M",12460,111,12571
"KWAZULU-NATAL","(55,60]","U",649,0,649
"KWAZULU-NATAL","(60,65]","F",11901,72,11973
"KWAZULU-NATAL","(60,65]","M",8699,56,8755
"KWAZULU-NATAL","(60,65]","U",466,0,466
"KWAZULU-NATAL","(65,70]","F",8782,53,8835
"KWAZULU-NATAL","(65,70]","M",6331,41,6372
"KWAZULU-NATAL","(65,70]","U",398,0,398
"KWAZULU-NATAL","(70,75]","F",6338,31,6369
"KWAZULU-NATAL","(70,75]","M",4290,35,4325
"KWAZULU-NATAL","(70,75]","U",296,0,296
"KWAZULU-NATAL","(75,80]","F",4329,20,4349
"KWAZULU-NATAL","(75,80]","M",2444,12,2456
"KWAZULU-NATAL","(75,80]","U",180,0,180
"KWAZULU-NATAL","(80,Inf]","F",4652,20,4672
"KWAZULU-NATAL","(80,Inf]","M",2056,8,2064
"KWAZULU-NATAL","(80,Inf]","U",195,0,195
"LIMPOPO","UNKNOWN","",1,0,1
"LIMPOPO","UNKNOWN","F",518,0,518
"LIMPOPO","UNKNOWN","M",377,0,377
"LIMPOPO","UNKNOWN","U",47,0,47
"LIMPOPO","(0,5]","F",713,2,715
"LIMPOPO","(0,5]","M",785,4,789
"LIMPOPO","(0,5]","U",24,0,24
"LIMPOPO","(10,15]","F",1944,3,1947
"LIMPOPO","(10,15]","M",1608,9,1617
"LIMPOPO","(10,15]","U",49,0,49
"LIMPOPO","(15,20]","F",3300,20,3320
"LIMPOPO","(15,20]","M",2506,12,2518
"LIMPOPO","(15,20]","U",73,0,73
"LIMPOPO","(20,25]","F",3777,56,3833
"LIMPOPO","(20,25]","M",2685,28,2713
"LIMPOPO","(20,25]","U",39,0,39
"LIMPOPO","(25,30]","F",6499,73,6572
"LIMPOPO","(25,30]","M",4745,97,4842
"LIMPOPO","(25,30]","U",45,1,46
"LIMPOPO","(30,35]","F",7929,120,8049
"LIMPOPO","(30,35]","M",6090,80,6170
"LIMPOPO","(30,35]","U",58,1,59
"LIMPOPO","(35,40]","F",7875,96,7971
"LIMPOPO","(35,40]","M",6293,80,6373
"LIMPOPO","(35,40]","U",68,0,68
"LIMPOPO","(40,45]","F",6817,73,6890
"LIMPOPO","(40,45]","M",5409,60,5469
"LIMPOPO","(40,45]","U",58,1,59
"LIMPOPO","(45,50]","F",6753,79,6832
"LIMPOPO","(45,50]","M",5193,50,5243
"LIMPOPO","(45,50]","U",56,2,58
"LIMPOPO","(5,10]","F",999,2,1001
"LIMPOPO","(5,10]","M",994,3,997
"LIMPOPO","(5,10]","U",26,0,26
"LIMPOPO","(50,55]","F",6118,42,6160
"LIMPOPO","(50,55]","M",5112,57,5169
"LIMPOPO","(50,55]","U",48,0,48
"LIMPOPO","(55,60]","F",4880,36,4916
"LIMPOPO","(55,60]","M",4267,31,4298
"LIMPOPO","(55,60]","U",33,0,33
"LIMPOPO","(60,65]","F",2807,10,2817
"LIMPOPO","(60,65]","M",2589,11,2600
